Operator,City,State / Province,Country
Union City Transit,,California,"United States of AmericaSan Mateo, San Mateo"
Santa Rosa CityBus,,California,United States of AmericaSanta Rosa
San Francisco International Airport,,California,United States of AmericaSan Mateo
Alameda-Contra Costa Transit District(AC Transit),Berkeley,California,"United States of AmericaBerkeley, Oakland"
The Victoria Clipper,,British Columbia,CanadaVictoria
Byron Easybus,Lismore,New South Wales,"AustraliaLismore, Brisbane"
De Waterbus(Aqualiner),,East Flanders,BelgiumAntwerpen
Adelaide Metro (SouthLink),Adelaide,South Australia,AustraliaAdelaide
Adelaide Metro - Light-City Buses,,,
Adelaide Metro - Light-City Buses School Service,,,
Adelaide Metro - Torrens Transit School Service,Adelaide,South Australia,AustraliaAdelaide
Adelaide Metro,Adelaide,South Australia,AustraliaAdelaide
Adelaide Metro - SouthLink School Service,,South Australia,AustraliaAdelaide
Adelaide Metro - Light-City Buses Industrial Service,,,
Adelaide Metro - Torrens Transit,Adelaide,South Australia,AustraliaAdelaide
Adelaide Metro - Torrens Transit Industrial Service,,South Australia,AustraliaAdelaide
Akron Metro Regional Transit Authority,Akron,Ohio,United States of AmericaAkron
GIRO - Transportes Urbanos(GIRO),Faro,Faro,"PortugalFaro, Portimão"
Próximo - Transportes Urbanos de Faro(Próximo),,Faro,PortugalFaro
Sobe e Desce - Transportes Urbanos de Tavira(Sobe e Desce),,Faro,PortugalFaro
Vamus Transportes do Algarve(Vamus),Portimão,Faro,"PortugalPortimão, Faro"
A Onda - Mobilidade Urbana(A Onda),,Faro,PortugalPortimão
Apanha-me! - Transportes Urbanos(Apanha-me!),,Faro,PortugalFaro
Circuito Olhão(Circuito Olhão),,Faro,PortugalFaro
Alilaguna,,Venezia,ItalyVenice
Amarillo City Transit,,Texas,United States of AmericaAmarillo
Azienda Trasporti Milanesi(ATM),,Milano,ItalyMilan
RoadRunneR Shuttle,Los Alamos,New Mexico,"United States of AmericaLos Alamos, Santa Fe"
Wisconsin Coach Lines,,,
Sunway Charters,,North Carolina,United States of America
Amtrak California,,,
Lone Star Coaches,,,
Burlington Trailways,,,
Trinity Transportation,,,
Martz First Class Coach,,,
Annett Bus Lines,,,
Vandalia Bus Lines,,,
Executive Transportation,Carbondale,Illinois,"United States of AmericaCarbondale, Galesburg, Peoria, Springfield"
Azienda Napoletana Mobilità(ANM),,Napoli,ItalyNaples
Kingston Transit,,Ontario,CanadaKingston
Ginko(Ginko),,Doubs,FranceBesançon
Thunder Bay Transit,Thunder Bay,Ontario,CanadaThunder Bay
Des Moines Area Regional Transit Authority(DART),,Iowa,United States of AmericaDes Moines
Suburban Mobility Authority for Regional Transit(SMART),Pontiac,Michigan,"United States of AmericaPontiac, Detroit"
Weekendbus,,Budapest,HungaryBudapest
Saskatoon Transit,,Saskatchewan,CanadaSaskatoon
Arlington Transit(ART),Alexandria,Virginia,United States of AmericaAlexandria
Azienda Regionale Sarda Trasporti(ARST),Cagliari,Cagliari,ItalyCagliari
KU on Wheels & Lawrence Transit System(Lawrence Transit),,Kansas,United States of AmericaLawrence
ATM - Azienda Trasporti di Messina,,Messina,Italy
